ID,rating
79426,3
79427,3
79428,3
79429,3
79430,3
79431,3
79432,4
79433,3
79434,3
79435,4
79436,3
79437,3
79438,3
79439,4
79440,3
79441,3
79442,3
79443,3
79444,3
79445,3
79446,3
79447,3
79448,3
79449,3
79450,3
79451,4
79452,3
79453,3
79454,3
79455,3
79456,4
79457,3
79458,3
79459,3
79460,3
79461,3
79462,3
79463,3
79464,3
79465,3
79466,3
79467,3
79468,3
79469,3
79470,3
79471,3
79472,4
79473,3
79474,3
79475,3
79476,4
79477,3
79478,3
79479,4
79480,3
79481,3
79482,3
79483,3
79484,3
79485,3
79486,3
79487,3
79488,3
79489,3
79490,3
79491,3
79492,3
79493,3
79494,3
79495,3
79496,3
79497,3
79498,3
79499,3
79500,3
79501,3
79502,3
79503,3
79504,3
79505,3
79506,3
79507,3
79508,3
79509,3
79510,3
79511,3
79512,3
79513,3
79514,4
79515,4
79516,3
79517,3
79518,3
79519,3
79520,3
79521,4
79522,3
79523,3
79524,3
79525,4
79526,3
79527,3
79528,3
79529,3
79530,3
79531,3
79532,3
79533,3
79534,3
79535,3
79536,3
79537,3
79538,3
79539,3
79540,3
79541,3
79542,3
79543,4
79544,3
79545,3
79546,3
79547,4
79548,3
79549,3
79550,3
79551,3
79552,3
79553,3
79554,3
79555,3
79556,3
79557,3
79558,3
79559,3
79560,3
79561,3
79562,4
79563,4
79564,3
79565,3
79566,3
79567,3
79568,3
79569,3
79570,3
79571,3
79572,3
79573,3
79574,3
79575,3
79576,3
79577,4
79578,4
79579,3
79580,3
79581,3
79582,3
79583,3
79584,3
79585,3
79586,3
79587,4
79588,3
79589,3
79590,3
79591,3
79592,3
79593,4
79594,3
79595,3
79596,3
79597,3
79598,3
79599,3
79600,3
79601,3
79602,3
79603,3
79604,3
79605,3
79606,3
79607,3
79608,3
79609,3
79610,3
79611,3
79612,3
79613,3
79614,3
79615,3
79616,3
79617,3
79618,3
79619,3
79620,3
79621,4
79622,3
79623,3
79624,3
79625,3
79626,3
79627,3
79628,3
79629,3
79630,3
79631,3
79632,3
79633,3
79634,3
79635,3
79636,3
79637,3
79638,3
79639,3
79640,3
79641,3
79642,3
79643,3
79644,3
79645,3
79646,3
79647,3
79648,3
79649,3
79650,3
79651,3
79652,3
79653,3
79654,3
79655,3
79656,3
79657,3
79658,4
79659,4
79660,3
79661,3
79662,3
79663,3
79664,3
79665,3
79666,4
79667,3
79668,3
79669,4
79670,4
79671,4
79672,3
79673,3
79674,3
79675,3
79676,3
79677,3
79678,3
79679,3
79680,3
79681,3
79682,3
79683,3
79684,3
79685,3
79686,3
79687,3
79688,3
79689,3
79690,4
79691,3
79692,3
79693,3
79694,3
79695,3
79696,3
79697,3
79698,3
79699,3
79700,4
79701,3
79702,3
79703,3
79704,3
79705,3
79706,4
79707,3
79708,4
79709,3
79710,3
79711,3
79712,3
79713,3
79714,3
79715,3
79716,3
79717,3
79718,3
79719,3
79720,3
79721,3
79722,3
79723,4
79724,3
79725,3
79726,3
79727,3
79728,3
79729,3
79730,4
79731,3
79732,3
79733,3
79734,3
79735,3
79736,3
79737,3
79738,4
79739,3
79740,3
79741,3
79742,3
79743,3
79744,4
79745,3
79746,3
79747,3
79748,3
79749,3
79750,3
79751,3
79752,3
79753,3
79754,3
79755,3
79756,3
79757,3
79758,3
79759,3
79760,3
79761,4
79762,3
79763,3
79764,3
79765,3
79766,3
79767,3
79768,3
79769,4
79770,4
79771,3
79772,4
79773,3
79774,3
79775,3
79776,4
79777,3
79778,3
79779,3
79780,3
79781,3
79782,3
79783,3
79784,3
79785,3
79786,3
79787,3
79788,3
79789,3
79790,3
79791,3
79792,3
79793,3
79794,3
79795,3
79796,3
79797,3
79798,3
79799,4
79800,3
79801,3
79802,3
79803,3
79804,3
79805,3
79806,4
79807,3
79808,4
79809,3
79810,4
79811,3
79812,3
79813,3
79814,3
79815,3
79816,3
79817,3
79818,3
79819,3
79820,3
79821,3
79822,3
79823,3
79824,4
79825,3
79826,3
79827,3
79828,3
79829,4
79830,3
79831,4
79832,3
79833,3
79834,3
79835,3
79836,3
79837,3
79838,3
79839,3
79840,4
79841,3
79842,3
79843,3
79844,3
79845,3
79846,3
79847,3
79848,3
79849,4
79850,3
79851,3
79852,3
79853,3
79854,3
79855,3
79856,3
79857,3
79858,3
79859,3
79860,3
79861,3
79862,3
79863,3
79864,3
79865,3
79866,3
79867,4
79868,3
79869,3
79870,3
79871,3
79872,3
79873,3
79874,3
79875,3
79876,3
79877,3
79878,3
79879,3
79880,4
79881,3
79882,3
79883,3
79884,3
79885,3
79886,3
79887,4
79888,3
79889,3
79890,3
79891,3
79892,3
79893,3
79894,3
79895,3
79896,3
79897,3
79898,4
79899,4
79900,3
79901,3
79902,3
79903,3
79904,3
79905,4
79906,3
79907,3
79908,3
79909,3
79910,4
79911,3
79912,3
79913,3
79914,3
79915,3
79916,3
79917,3
79918,3
79919,3
79920,3
79921,3
79922,3
79923,4
79924,3
79925,4
79926,3
79927,3
79928,3
79929,3
79930,3
79931,3
79932,3
79933,3
79934,3
79935,3
79936,3
79937,3
79938,3
79939,3
79940,3
79941,3
79942,3
79943,3
79944,3
79945,3
79946,4
79947,3
79948,3
79949,3
79950,3
79951,3
79952,3
79953,3
79954,3
79955,3
79956,3
79957,3
79958,3
79959,3
79960,3
79961,3
79962,3
79963,3
79964,3
79965,3
79966,3
79967,3
79968,3
79969,3
79970,3
79971,3
79972,3
79973,3
79974,3
79975,3
79976,3
79977,3
79978,3
79979,3
79980,3
79981,3
79982,3
79983,4
79984,3
79985,3
79986,3
79987,3
79988,3
79989,3
79990,3
79991,3
79992,3
79993,4
79994,3
79995,3
79996,3
79997,3
79998,3
79999,3
80000,3
